"long","lat","coeff","pval","countries","cumDHI","wdpa_prox","ecoregions","sumTotalMammals_300","sumTotalBirds_300","sumTotalAmphibians_300","sumTotalReptiles_300","sumTotalMammals_crit_300","sumTotalBirds_crit_300","sumTotalAmphibians_crit_300","sumTotalReptiles_crit_300","global_wui_sum_Int16","gdp_1990","gdp_2015","gdp_change","gdp_rel_change","continents","biomes","wdpa_categories"
13.721,31.961,0.09,0.9335,72,7,1381,426,25,126,2,28,1,6,0,0,0,21805,13321,-8484,61,2,12,-32768
-7.27,25.28,0.07,0.0011,164,6,1671,652,12,57,0,18,1,3,0,0,0,2816,3710,894,132,2,13,-32768
25.495,5.629,0.48,0.5457,85,39,91,507,107,284,26,75,8,8,0,2,0,943,562,-381,60,2,7,-32768
43.891,15.794,2.96,2e-04,163,10,642,688,33,159,2,34,0,8,0,0,0,3392,3769,377,111,2,13,-32768
35.408,30.735,4.32,0.0026,144,9,0,588,40,169,2,44,0,10,0,1,0,6154,9321,3167,151,2,13,2
24.251,19.847,1.17,0,86,8,1410,652,8,46,0,16,2,3,0,0,0,1753,3927,2174,224,2,13,-32768
-8.415,17.424,0.93,0,164,9,877,598,24,87,2,20,1,5,0,0,0,2816,3710,894,132,2,7,-32768
8.187,8.454,7.49,0.1049,100,30,786,292,85,355,25,65,1,6,0,3,0,4170,5924,1754,142,2,7,-32768
21.338,13.22,3.57,0,115,21,567,598,41,259,4,19,3,15,0,1,0,1110,2044,934,184,2,7,-32768
56.724,19.715,4.84,1e-04,40,10,108,826,21,94,1,21,1,7,0,2,0,35036,35983,947,103,2,13,-32768
49.583,8.335,1.96,0,16,9,2373,321,30,102,7,32,2,4,0,0,0,622,378,-244,61,2,7,-32768
33.438,-11.893,5,8e-04,18,25,243,152,134,430,38,55,2,13,0,0,900,746,1113,367,149,2,7,-32768
11.25,25.956,0.4,0.0594,72,8,2037,216,13,53,0,21,1,3,0,0,0,21805,13321,-8484,61,2,13,-32768
45.473,-16.268,6.48,0,182,34,45,395,30,135,9,37,9,9,0,1,221,1661,1373,-288,83,2,2,-32768
30.123,-12.235,1.2,0.0952,81,24,61,813,134,454,39,57,4,16,0,1,0,2318,3658,1340,158,2,9,-32768
27.125,3.915,3.53,0.5308,32,38,480,507,122,405,19,86,6,6,0,1,0,1268,737,-531,58,2,7,-32768
15.813,17.15,1.74,0.0093,115,7,919,598,16,57,1,16,2,6,0,0,0,1110,2044,934,184,2,7,-32768
33.117,25.676,0,1,162,9,587,652,26,154,0,24,2,8,0,1,0,6014,10250,4236,170,2,13,-32768
43.257,5.23,2.31,0,14,12,958,638,52,196,6,46,4,8,0,1,0,652,1530,878,235,2,7,-32768
8.305,22.955,0.06,0.0789,122,7,980,775,23,66,2,23,3,4,0,0,0,10239,13823,3584,135,2,13,-32768
3.956,24.666,0.1,0.001,122,7,2272,775,21,65,0,23,3,3,0,0,0,10239,13823,3584,135,2,13,-32768
47.381,-22.602,3.87,0,182,32,136,397,16,128,31,31,2,7,1,0,0,1661,1373,-288,83,2,1,-32768
34.602,-0.918,8.8,0.0113,17,38,139,844,138,432,21,49,5,12,0,0,900,982,1616,634,165,2,1,-32768
18.33,-27.745,0.27,0.1168,36,9,188,272,52,156,3,57,2,9,0,0,0,5716,9801,4085,171,2,13,-32768
29.432,29.211,0,1,162,10,531,486,24,82,0,23,1,7,0,0,0,5906,10003,4097,169,2,13,-32768
35.319,-10.532,6.68,0.1026,19,32,382,152,99,390,32,48,3,9,0,0,0,1089,2722,1633,250,2,7,-32768
22.421,-27.898,0,1,37,14,760,358,55,209,8,46,4,9,0,0,0,7334,11533,4199,157,2,13,-32768
29.424,-20.435,1.24,1e-04,108,23,265,808,118,407,33,79,3,12,0,0,900,2526,1688,-838,67,2,7,-32768
8.257,15.686,3.68,2e-04,149,11,421,598,34,147,3,28,1,9,0,1,0,906,897,-9,99,2,7,-32768
47.996,14.92,-0.51,0.2309,163,11,2017,826,22,106,2,29,0,7,0,0,0,3392,3769,377,111,2,13,-32768
15.783,6.4,-0.95,0.8004,85,36,344,507,88,293,28,81,3,4,0,3,0,943,562,-381,60,2,7,-32768
-14.85,24.968,0,0,27,0,1063,0,0,0,0,0,0,0,0,0,0,3901,7361,3460,189,2,0,-32768
5.371,15.557,-8.11,0.7139,149,6,637,598,40,183,3,28,1,11,0,1,0,906,897,-9,99,2,7,-32768
44.373,33.891,60.76,0,90,24,980,433,24,180,0,24,0,12,0,2,0,11516,14018,2502,122,2,13,-32768
42.77,30.686,0.39,0,90,8,1183,483,17,73,0,18,1,6,0,1,0,11516,14018,2502,122,2,13,-32768
2.692,16.888,3.6,0,98,13,376,598,32,132,2,28,1,7,0,1,0,893,2285,1392,256,2,7,-32768
4.78,27.775,0.46,2e-04,122,8,2904,774,16,67,0,17,1,3,0,0,0,10239,13823,3584,135,2,13,-32768
18.737,7.866,1.57,0.0054,85,36,80,219,85,302,26,72,3,10,0,3,0,943,562,-381,60,2,7,-32768
39.451,-12.483,1.89,7e-04,123,37,601,811,64,282,35,50,5,8,0,0,0,221,689,468,312,2,7,-32768
17.853,-30.231,-0.97,0.1078,37,15,691,457,54,182,8,61,3,8,0,1,0,7334,11533,4199,157,2,13,-32768
14.845,30.748,0.38,0.0143,72,10,1877,486,19,74,1,21,1,4,0,0,0,21805,13321,-8484,61,2,13,-32768
14.462,18.847,-0.02,0.2526,149,7,562,652,13,45,0,19,2,6,0,0,0,906,897,-9,99,2,13,-32768
28.61,-22.443,-0.05,0.3306,107,21,134,814,90,375,20,76,5,13,0,0,0,8099,14876,6777,184,2,7,-32768
